date,period_start,period_end,first_trade_date,last_trade_date,open,high,low,close,trading_days,is_partial,partial_reason,has_ohlc,source,history_kind
1927-12-30,1927-12-26,1928-01-01,1927-12-30,1927-12-30,,,,17.66,1,True,來源起點不足整期,False,Yahoo Finance ^GSPC,供應商期初值
1928-01-06,1928-01-02,1928-01-08,1928-01-03,1928-01-06,,,,17.66,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-01-13,1928-01-09,1928-01-15,1928-01-09,1928-01-13,,,,17.58,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-01-20,1928-01-16,1928-01-22,1928-01-16,1928-01-20,,,,17.48,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-01-27,1928-01-23,1928-01-29,1928-01-23,1928-01-27,,,,17.69,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-02-03,1928-01-30,1928-02-05,1928-01-30,1928-02-03,,,,17.40,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-02-10,1928-02-06,1928-02-12,1928-02-06,1928-02-10,,,,17.54,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-02-17,1928-02-13,1928-02-19,1928-02-14,1928-02-17,,,,17.04,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-02-24,1928-02-20,1928-02-26,1928-02-20,1928-02-24,,,,17.18,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-03-02,1928-02-27,1928-03-04,1928-02-27,1928-03-02,,,,17.30,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-03-09,1928-03-05,1928-03-11,1928-03-05,1928-03-09,,,,17.93,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-03-16,1928-03-12,1928-03-18,1928-03-12,1928-03-16,,,,18.26,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-03-23,1928-03-19,1928-03-25,1928-03-19,1928-03-23,,,,18.78,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-03-30,1928-03-26,1928-04-01,1928-03-26,1928-03-30,,,,19.28,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-04-05,1928-04-02,1928-04-08,1928-04-02,1928-04-05,,,,19.23,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-04-13,1928-04-09,1928-04-15,1928-04-09,1928-04-13,,,,19.73,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-04-20,1928-04-16,1928-04-22,1928-04-16,1928-04-20,,,,19.34,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-04-27,1928-04-23,1928-04-29,1928-04-23,1928-04-27,,,,19.68,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-05-04,1928-04-30,1928-05-06,1928-04-30,1928-05-04,,,,20.24,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-05-11,1928-05-07,1928-05-13,1928-05-07,1928-05-11,,,,20.36,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-05-18,1928-05-14,1928-05-20,1928-05-14,1928-05-18,,,,19.92,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-05-25,1928-05-21,1928-05-27,1928-05-21,1928-05-25,,,,19.90,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-06-01,1928-05-28,1928-06-03,1928-05-28,1928-06-01,,,,20.07,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-06-08,1928-06-04,1928-06-10,1928-06-04,1928-06-08,,,,19.37,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-06-15,1928-06-11,1928-06-17,1928-06-11,1928-06-15,,,,18.74,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-06-22,1928-06-18,1928-06-24,1928-06-18,1928-06-22,,,,18.54,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-06-29,1928-06-25,1928-07-01,1928-06-25,1928-06-29,,,,19.14,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-07-06,1928-07-02,1928-07-08,1928-07-02,1928-07-06,,,,19.39,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-07-13,1928-07-09,1928-07-15,1928-07-09,1928-07-13,,,,18.96,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-07-20,1928-07-16,1928-07-22,1928-07-16,1928-07-20,,,,19.03,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-07-27,1928-07-23,1928-07-29,1928-07-23,1928-07-27,,,,19.42,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-08-03,1928-07-30,1928-08-05,1928-07-30,1928-08-03,,,,19.36,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-08-10,1928-08-06,1928-08-12,1928-08-06,1928-08-10,,,,19.25,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-08-17,1928-08-13,1928-08-19,1928-08-13,1928-08-17,,,,19.64,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-08-24,1928-08-20,1928-08-26,1928-08-20,1928-08-24,,,,20.34,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-08-31,1928-08-27,1928-09-02,1928-08-27,1928-08-31,,,,20.87,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-09-07,1928-09-03,1928-09-09,1928-09-04,1928-09-07,,,,21.09,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-09-14,1928-09-10,1928-09-16,1928-09-10,1928-09-14,,,,21.14,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-09-21,1928-09-17,1928-09-23,1928-09-17,1928-09-21,,,,21.36,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-09-28,1928-09-24,1928-09-30,1928-09-24,1928-09-28,,,,21.14,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-10-05,1928-10-01,1928-10-07,1928-10-01,1928-10-05,,,,21.22,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-10-11,1928-10-08,1928-10-14,1928-10-08,1928-10-11,,,,21.51,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-10-19,1928-10-15,1928-10-21,1928-10-15,1928-10-19,,,,21.96,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-10-26,1928-10-22,1928-10-28,1928-10-22,1928-10-26,,,,21.65,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-11-02,1928-10-29,1928-11-04,1928-10-29,1928-11-02,,,,21.95,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-11-09,1928-11-05,1928-11-11,1928-11-05,1928-11-09,,,,22.55,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-11-16,1928-11-12,1928-11-18,1928-11-12,1928-11-16,,,,23.37,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-11-23,1928-11-19,1928-11-25,1928-11-19,1928-11-23,,,,23.70,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-11-30,1928-11-26,1928-12-02,1928-11-26,1928-11-30,,,,24.28,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-12-07,1928-12-03,1928-12-09,1928-12-03,1928-12-07,,,,22.36,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-12-14,1928-12-10,1928-12-16,1928-12-10,1928-12-14,,,,22.53,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-12-21,1928-12-17,1928-12-23,1928-12-17,1928-12-21,,,,23.33,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1928-12-28,1928-12-24,1928-12-30,1928-12-24,1928-12-28,,,,23.98,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-01-04,1928-12-31,1929-01-06,1928-12-31,1929-01-04,,,,24.85,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-01-11,1929-01-07,1929-01-13,1929-01-07,1929-01-11,,,,24.54,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-01-18,1929-01-14,1929-01-20,1929-01-14,1929-01-18,,,,24.77,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-01-25,1929-01-21,1929-01-27,1929-01-21,1929-01-25,,,,25.48,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-02-01,1929-01-28,1929-02-03,1929-01-28,1929-02-01,,,,25.84,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-02-08,1929-02-04,1929-02-10,1929-02-04,1929-02-08,,,,24.44,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-02-15,1929-02-11,1929-02-17,1929-02-11,1929-02-15,,,,24.35,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-02-21,1929-02-18,1929-02-24,1929-02-18,1929-02-21,,,,24.86,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-03-01,1929-02-25,1929-03-03,1929-02-25,1929-03-01,,,,25.83,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-03-08,1929-03-04,1929-03-10,1929-03-04,1929-03-08,,,,25.31,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-03-15,1929-03-11,1929-03-17,1929-03-11,1929-03-15,,,,26.08,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-03-22,1929-03-18,1929-03-24,1929-03-18,1929-03-22,,,,25.55,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-03-28,1929-03-25,1929-03-31,1929-03-25,1929-03-28,,,,25.53,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-04-05,1929-04-01,1929-04-07,1929-04-01,1929-04-05,,,,25.05,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-04-12,1929-04-08,1929-04-14,1929-04-08,1929-04-12,,,,25.15,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-04-19,1929-04-15,1929-04-21,1929-04-15,1929-04-19,,,,25.41,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-04-26,1929-04-22,1929-04-28,1929-04-22,1929-04-26,,,,25.58,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-05-03,1929-04-29,1929-05-05,1929-04-29,1929-05-03,,,,26.37,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-05-10,1929-05-06,1929-05-12,1929-05-06,1929-05-10,,,,26.34,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-05-17,1929-05-13,1929-05-19,1929-05-13,1929-05-17,,,,26.09,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-05-24,1929-05-20,1929-05-26,1929-05-20,1929-05-24,,,,25.12,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-05-31,1929-05-27,1929-06-02,1929-05-27,1929-05-31,,,,24.83,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-06-07,1929-06-03,1929-06-09,1929-06-03,1929-06-07,,,,25.53,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-06-14,1929-06-10,1929-06-16,1929-06-10,1929-06-14,,,,25.93,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-06-21,1929-06-17,1929-06-23,1929-06-17,1929-06-21,,,,26.62,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-06-28,1929-06-24,1929-06-30,1929-06-24,1929-06-28,,,,27.41,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-07-05,1929-07-01,1929-07-07,1929-07-01,1929-07-05,,,,28.32,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-07-12,1929-07-08,1929-07-14,1929-07-08,1929-07-12,,,,28.57,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-07-19,1929-07-15,1929-07-21,1929-07-15,1929-07-19,,,,28.76,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-07-26,1929-07-22,1929-07-28,1929-07-22,1929-07-26,,,,28.66,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-08-02,1929-07-29,1929-08-04,1929-07-29,1929-08-02,,,,29.56,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-08-09,1929-08-05,1929-08-11,1929-08-05,1929-08-09,,,,28.38,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-08-16,1929-08-12,1929-08-18,1929-08-12,1929-08-16,,,,30.22,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-08-23,1929-08-19,1929-08-25,1929-08-19,1929-08-23,,,,31.09,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-08-30,1929-08-26,1929-09-01,1929-08-26,1929-08-30,,,,31.71,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-09-06,1929-09-02,1929-09-08,1929-09-03,1929-09-06,,,,31.83,4,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-09-13,1929-09-09,1929-09-15,1929-09-09,1929-09-13,,,,31.38,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-09-20,1929-09-16,1929-09-22,1929-09-16,1929-09-20,,,,31.39,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-09-27,1929-09-23,1929-09-29,1929-09-23,1929-09-27,,,,30.27,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-10-04,1929-09-30,1929-10-06,1929-09-30,1929-10-04,,,,28.65,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-10-11,1929-10-07,1929-10-13,1929-10-07,1929-10-11,,,,30.76,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
1929-10-18,1929-10-14,1929-10-20,1929-10-14,1929-10-18,,,,28.84,5,False,,False,Yahoo Finance ^GSPC,推出前回溯
