date,open,high,low,close,source
1967-01-05,,,,92.48,011.idv.tw (close only)
1967-01-06,,,,92.48,011.idv.tw (close only)
1967-01-07,,,,92.68,011.idv.tw (close only)
1967-01-09,,,,92.82,011.idv.tw (close only)
1967-01-10,,,,92.83,011.idv.tw (close only)
1967-01-11,,,,93.17,011.idv.tw (close only)
1967-01-12,,,,92.70,011.idv.tw (close only)
1967-01-13,,,,93.46,011.idv.tw (close only)
1967-01-14,,,,94.13,011.idv.tw (close only)
1967-01-16,,,,95.37,011.idv.tw (close only)
1967-01-17,,,,94.60,011.idv.tw (close only)
1967-01-18,,,,94.94,011.idv.tw (close only)
1967-01-19,,,,94.83,011.idv.tw (close only)
1967-01-20,,,,94.17,011.idv.tw (close only)
1967-01-21,,,,93.80,011.idv.tw (close only)
1967-01-23,,,,93.85,011.idv.tw (close only)
1967-01-24,,,,94.83,011.idv.tw (close only)
1967-01-25,,,,94.24,011.idv.tw (close only)
1967-01-26,,,,93.49,011.idv.tw (close only)
1967-01-27,,,,94.05,011.idv.tw (close only)
1967-01-28,,,,94.18,011.idv.tw (close only)
1967-01-30,,,,93.38,011.idv.tw (close only)
1967-01-31,,,,94.14,011.idv.tw (close only)
1967-02-01,,,,93.65,011.idv.tw (close only)
1967-02-02,,,,94.19,011.idv.tw (close only)
1967-02-03,,,,93.80,011.idv.tw (close only)
1967-02-04,,,,94.08,011.idv.tw (close only)
1967-02-06,,,,94.39,011.idv.tw (close only)
1967-02-07,,,,95.17,011.idv.tw (close only)
1967-02-13,,,,95.25,011.idv.tw (close only)
1967-02-14,,,,95.70,011.idv.tw (close only)
1967-02-15,,,,96.18,011.idv.tw (close only)
1967-02-16,,,,96.08,011.idv.tw (close only)
1967-02-17,,,,96.36,011.idv.tw (close only)
1967-02-18,,,,96.36,011.idv.tw (close only)
1967-02-20,,,,95.59,011.idv.tw (close only)
1967-02-21,,,,96.15,011.idv.tw (close only)
1967-02-22,,,,94.47,011.idv.tw (close only)
1967-02-23,,,,94.19,011.idv.tw (close only)
1967-02-24,,,,94.47,011.idv.tw (close only)
1967-02-25,,,,93.63,011.idv.tw (close only)
1967-02-27,,,,95.10,011.idv.tw (close only)
1967-02-28,,,,95.20,011.idv.tw (close only)
1967-03-01,,,,95.90,011.idv.tw (close only)
1967-03-02,,,,97.27,011.idv.tw (close only)
1967-03-03,,,,96.87,011.idv.tw (close only)
1967-03-04,,,,96.46,011.idv.tw (close only)
1967-03-06,,,,95.70,011.idv.tw (close only)
1967-03-07,,,,94.98,011.idv.tw (close only)
1967-03-08,,,,94.40,011.idv.tw (close only)
1967-03-09,,,,93.09,011.idv.tw (close only)
1967-03-10,,,,93.08,011.idv.tw (close only)
1967-03-11,,,,92.95,011.idv.tw (close only)
1967-03-13,,,,92.98,011.idv.tw (close only)
1967-03-14,,,,92.50,011.idv.tw (close only)
1967-03-15,,,,92.93,011.idv.tw (close only)
1967-03-16,,,,92.53,011.idv.tw (close only)
